,countyFIPS,annual_avg_emplvl
1092457,23015,10963
1093474,23017,16824
1094559,23019,69878
1096159,23021,5596
1096870,23023,15617
1097864,23025,16082
1098881,23027,11850
1099909,23029,10105
1100832,23031,73067
1102486,23999,12744
1106160,24001,29038
1107243,24003,273601
1109106,24005,380537
1110948,24009,22710
1112000,24011,9821
1112793,24013,58110
1114203,24015,32275
1115404,24017,41392
1116581,24019,10880
1117436,24021,103232
1118989,24023,11829
1119912,24025,95060
1121449,24027,172273
1123072,24029,7993
1123908,24031,470884
1125689,24033,320443
1127502,24035,15084
1128579,24037,44721
1129701,24039,6719
1130361,24041,19390
1131450,24043,65708
1132876,24045,45357
1134174,24047,24975
1135269,24510,343996
1137201,24999,73038
1141894,25001,97408
1143568,25003,61266
1145062,25005,228565
1147073,25007,9016
1147974,25009,325671
1150006,25011,26852
1151327,25013,209706
1153222,25015,65818
1154718,25017,924133
1156997,25019,7577
1157754,25021,354053
1159716,25023,194800
1161628,25025,680021
1163556,25027,350313
1165640,25999,50836
1169718,26001,1763
1170123,26003,2521
1170578,26005,39348
1171940,26007,11337
1172885,26009,5364
1173583,26011,4527
1174128,26013,2916
1174588,26015,12479
1175530,26017,33710
1176822,26019,4298
1177488,26021,61350
1178999,26023,14328
1179960,26025,54787
1181272,26027,9485
1182135,26029,10527
1182985,26031,6471
1183821,26033,12428
1184776,26035,6776
1185457,26037,16589
1186492,26039,4127
1187016,26041,13762
1188058,26043,14092
1189011,26045,42761
1190244,26047,18110
1191337,26049,134488
1193004,26051,4083
1193585,26053,5337
1194249,26055,49968
1195765,26057,12739
1196595,26059,12775
1197450,26061,11052
1198355,26063,11146
1199263,26065,151451
1200919,26067,19799
1201837,26069,7524
1202562,26071,3759
1203138,26073,28817
1204222,26075,57217
1205572,26077,119847
1207178,26079,4182
1207712,26081,402300
1209685,26083,429
1209901,26085,1624
1210247,26087,21415
1211416,26089,6454
1212191,26091,26999
1213398,26093,62025
1214885,26095,1905
1215316,26097,4528
1215912,26099,329713
1217852,26101,7078
1218635,26103,26561
1219807,26105,10540
1220676,26107,13318
1221505,26109,7317
1222184,26111,37391
1223316,26113,3301
1223856,26115,40403
1225141,26117,16120
1226089,26119,2067
1226507,26121,62927
1227941,26123,11861
1228815,26125,736982
1230914,26127,6837
1231616,26129,5877
1232389,26131,1193
1232719,26133,6864
1233335,26135,1566
1233761,26137,10175
1234617,26139,126890
1236305,26141,2722
1236853,26143,5479
1237504,26145,83688
1239035,26147,44153
1240429,26149,24468
1241418,26151,11078
1242275,26153,2695
1242748,26155,15359
1243709,26157,11460
1244602,26159,21500
1245703,26161,213252
1247446,26163,725302
1249619,26165,13445
1250558,26999,134747
1255562,27001,4090
1256237,27003,125589
1257835,27005,14502
1258851,27007,19864
1259966,27009,17249
1260880,27011,1707
1261319,27013,40036
1262609,27015,14096
1263459,27017,13367
1264294,27019,40562
1265563,27021,10443
1266384,27023,5761
1267093,27025,15475
1268097,27027,19201
1269168,27029,2623
1269677,27031,2831
1270180,27033,5013
1270806,27035,29757
1272069,27037,189606
1273859,27039,6111
1274543,27041,18950
1275696,27043,4493
1276285,27045,6024
1277019,27047,12025
1277929,27049,21504
1279028,27051,1910
1279497,27053,929690
1281689,27055,5168
1282332,27057,6147
1283103,27059,11066
1284001,27061,16206
1285035,27063,5131
1285587,27065,3835
1286165,27067,24342
1287298,27069,1492
1287697,27071,4499
1288360,27073,2196
1288826,27075,4183
1289364,27077,1668
1289760,27079,8538
1290584,27081,1683
1291021,27083,14343
1291943,27085,16374
1292881,27087,1883
1293201,27089,2204
1293669,27091,8759
1294465,27093,7308
1295235,27095,9690
1296043,27097,10796
1296963,27099,16394
1297856,27101,2994
1298385,27103,15249
1299272,27105,10496
1300048,27107,1683
1300479,27109,99545
1301901,27111,22911
1303069,27113,10301
1303776,27115,8293
1304553,27117,4522
1305130,27119,12254
1306049,27121,4436
1306674,27123,333453
1308658,27125,1034
1308991,27127,5993
1309722,27129,5893
1310383,27131,25304
1311533,27133,3387
1312097,27135,7929
1312805,27137,98398
1314513,27139,54003
1315891,27141,26134
1317077,27143,4339
1317665,27145,86875
1319168,27147,20980
1320164,27149,5529
1320779,27151,3690
1321339,27153,6440
1321960,27155,1153
1322335,27157,6746
1323023,27159,5521
1323653,27161,5976
1324318,27163,87263
1325842,27165,4402
1326382,27167,1819
1326800,27169,24604
1327889,27171,44063
1329243,27173,4059
1329830,27999,58896
1334389,28001,10628
1335293,28003,14276
1336203,28005,1809
1336577,28007,4552
1337221,28009,965
1337471,28011,11093
1338228,28013,3207
1338687,28015,1148
1339058,28017,5415
1339610,28019,2217
1340006,28021,3458
1340389,28023,2896
1340844,28025,5317
1341459,28027,7668
1342179,28029,6967
1342834,28031,5450
1343390,28033,62546
1344667,28035,40500
1345830,28037,1551
1346174,28039,4935
1346753,28041,1921
1347061,28043,10646
1347833,28045,13304
1348709,28047,85614
1350260,28049,120145
1351906,28051,3466
1352364,28053,2272
1352728,28055,189
1352860,28057,6075
1353445,28059,48611
1354672,28061,4009
1355087,28063,1038
1355322,28065,1596
1355687,28067,27086
1356724,28069,2213
1357066,28071,24335
1358078,28073,19177
1359052,28075,32868
1360269,28077,2422
1360647,28079,5124
1361143,28081,53724
1362415,28083,14550
1363258,28085,12185
1364104,28087,25077
1365335,28089,55416
1366664,28091,7923
1367375,28093,7145
1368069,28095,9681
1368834,28097,2342
1369287,28099,11985
1370017,28101,5556
1370603,28103,2509
1371038,28105,20428
1371941,28107,10366
1372706,28109,10432
1373577,28111,2099
1373932,28113,14781
1374840,28115,12516
1375527,28117,7455
1376221,28119,964
1376549,28121,62354
1377942,28123,13695
1378616,28125,1197
1378960,28127,7146
1379562,28129,2758
1379953,28131,4405
1380487,28133,8235
1381094,28135,2875
1381486,28137,5568
1382114,28139,6552
1382697,28141,6368
1383332,28143,8028
1383786,28145,11121
1384520,28147,2422
1384969,28149,19725
1385966,28151,16637
1387004,28153,4962
1387570,28155,1958
1387954,28157,1629
1388290,28159,4947
1388884,28161,2914
