area_fips,naics_code,annual_avg_emplvl,STATE
41000,321,23462,41.0
41000,322,3967,41.0
41000,323,4655,41.0
41000,324,559,41.0
41000,325,4841,41.0
41000,326,6257,41.0
41000,327,5262,41.0
41000,331,8554,41.0
41000,332,16470,41.0
41000,333,14152,41.0
41000,334,37943,41.0
41000,335,2692,41.0
41000,336,12176,41.0
41000,337,6262,41.0
41000,339,8304,41.0
41000,423,36883,41.0
41000,424,30659,41.0
41000,425,7735,41.0
41000,441,26888,41.0
41000,442,6734,41.0
41000,443,6548,41.0
41000,444,16631,41.0
41000,445,43092,41.0
41000,446,8476,41.0
41000,447,11366,41.0
41000,448,16576,41.0
41000,451,9798,41.0
41000,452,41360,41.0
41000,453,16090,41.0
41000,454,7529,41.0
41000,481,5359,41.0
41000,482,0,41.0
41000,483,354,41.0
41000,484,18778,41.0
41000,485,12030,41.0
41000,486,0,41.0
41000,487,324,41.0
41000,488,9037,41.0
41000,491,6911,41.0
41000,492,9648,41.0
41000,493,9917,41.0
41000,511,14770,41.0
41000,512,4977,41.0
41000,515,2635,41.0
41000,517,5323,41.0
41000,518,5082,41.0
41000,519,3330,41.0
41000,521,21,41.0
41000,522,27132,41.0
41000,523,5904,41.0
41000,524,23987,41.0
41000,525,56,41.0
41000,531,23655,41.0
41000,532,5106,41.0
41000,533,343,41.0
41000,541,100694,41.0
41000,551,48540,41.0
41000,561,98862,41.0
41000,562,5951,41.0
41000,611,148402,41.0
41000,621,95370,41.0
41000,622,65721,41.0
41000,623,52554,41.0
41000,624,63623,41.0
41000,711,5979,41.0
41000,712,3316,41.0
41000,713,24859,41.0
41000,721,29547,41.0
41000,722,157777,41.0
41000,811,19196,41.0
41000,812,15605,41.0
41000,813,30282,41.0
41000,814,13148,41.0
41000,921,27569,41.0
41000,922,24567,41.0
41000,923,13795,41.0
41000,924,6234,41.0
41000,925,824,41.0
41000,926,7834,41.0
41000,927,2,41.0
41000,928,1820,41.0
41000,999,1099,41.0
42000,111,12894,42.0
42000,112,7444,42.0
42000,113,837,42.0
42000,114,54,42.0
42000,115,3491,42.0
42000,211,4496,42.0
42000,212,9807,42.0
42000,213,13650,42.0
42000,221,34980,42.0
42000,236,59359,42.0
42000,237,50280,42.0
42000,238,154436,42.0
42000,311,72809,42.0
42000,312,10591,42.0
42000,313,3516,42.0
42000,314,3667,42.0
42000,315,4057,42.0
42000,316,730,42.0
42000,321,22553,42.0
42000,322,22012,42.0
42000,323,22988,42.0
42000,324,6159,42.0
42000,325,40807,42.0
42000,326,40106,42.0
42000,327,20766,42.0
42000,331,35755,42.0
42000,332,82427,42.0
42000,333,45657,42.0
42000,334,29691,42.0
42000,335,26884,42.0
42000,336,37393,42.0
42000,337,16322,42.0
42000,339,25583,42.0
42000,423,107408,42.0
42000,424,65676,42.0
42000,425,44323,42.0
42000,441,79838,42.0
42000,442,16139,42.0
42000,443,15719,42.0
42000,444,45763,42.0
42000,445,142461,42.0
42000,446,44048,42.0
42000,447,40858,42.0
42000,448,44648,42.0
42000,451,21761,42.0
42000,452,111659,42.0
42000,453,33653,42.0
42000,454,27779,42.0
42000,481,13193,42.0
42000,483,723,42.0
42000,484,67866,42.0
42000,485,42891,42.0
42000,486,2392,42.0
42000,487,771,42.0
42000,488,20441,42.0
42000,491,27900,42.0
42000,492,32289,42.0
42000,493,87002,42.0
42000,511,24123,42.0
42000,512,8367,42.0
42000,515,7802,42.0
42000,517,27344,42.0
42000,518,10549,42.0
42000,519,8931,42.0
42000,521,0,42.0
42000,522,92058,42.0
42000,523,43907,42.0
42000,524,123469,42.0
42000,525,0,42.0
42000,531,43941,42.0
42000,532,20416,42.0
42000,533,522,42.0
42000,541,360709,42.0
42000,551,136817,42.0
42000,561,299706,42.0
42000,562,18431,42.0
42000,611,484589,42.0
42000,621,340907,42.0
42000,622,289774,42.0
42000,623,216861,42.0
42000,624,220510,42.0
42000,711,19638,42.0
42000,712,8861,42.0
42000,713,71977,42.0
42000,721,60988,42.0
42000,722,412976,42.0
42000,811,52909,42.0
42000,812,71257,42.0
42000,813,73086,42.0
42000,814,4134,42.0
42000,921,114333,42.0
42000,922,56977,42.0
42000,923,15481,42.0
42000,924,9135,42.0
42000,925,5006,42.0
42000,926,11311,42.0
42000,928,22247,42.0
44000,111,579,44.0
44000,112,169,44.0
44000,113,0,44.0
44000,114,73,44.0
44000,115,0,44.0
44000,212,0,44.0
44000,221,1140,44.0
44000,236,4684,44.0
44000,237,2921,44.0
44000,238,12610,44.0
44000,311,3193,44.0
44000,312,512,44.0
44000,313,0,44.0
44000,314,533,44.0
44000,315,109,44.0
44000,316,104,44.0
44000,321,461,44.0
44000,322,1312,44.0
44000,323,1730,44.0
44000,324,0,44.0
44000,325,2951,44.0
44000,326,2147,44.0
44000,327,678,44.0
44000,331,0,44.0
44000,332,4714,44.0
44000,333,1971,44.0
44000,334,3492,44.0
44000,335,1140,44.0
44000,336,5663,44.0
44000,337,1174,44.0
44000,339,5095,44.0
44000,423,8029,44.0
44000,424,5783,44.0
44000,425,2703,44.0
44000,441,6016,44.0
44000,442,1317,44.0
44000,443,1211,44.0
44000,444,3822,44.0
44000,445,11778,44.0
44000,446,5012,44.0
44000,447,1992,44.0
44000,448,4236,44.0
44000,451,1376,44.0
44000,452,7260,44.0
44000,453,2913,44.0
44000,454,1860,44.0
44000,481,366,44.0
44000,482,0,44.0
44000,483,187,44.0
44000,484,2449,44.0
44000,485,2724,44.0
44000,486,0,44.0
44000,487,172,44.0
44000,488,1362,44.0
44000,491,2586,44.0
44000,492,2055,44.0
44000,493,1212,44.0
44000,511,1449,44.0
44000,512,756,44.0
44000,515,601,44.0
44000,517,1962,44.0
44000,518,559,44.0
44000,519,843,44.0
44000,522,11822,44.0
44000,523,5008,44.0
44000,524,9085,44.0
44000,525,30,44.0
44000,531,4686,44.0
44000,532,1622,44.0
44000,533,57,44.0
44000,541,25521,44.0
44000,551,13314,44.0
44000,561,27722,44.0
44000,562,1941,44.0
44000,611,45738,44.0
44000,621,26284,44.0
44000,622,24651,44.0
44000,623,17882,44.0
44000,624,13610,44.0
44000,711,1224,44.0
44000,712,1797,44.0
44000,713,7151,44.0
44000,721,5428,44.0
44000,722,44652,44.0
44000,811,4356,44.0
